"region_code","region_name"
1,"Novgorod"
2,"Vitebsk"
3,"Smolensk"
4,"Kiev"
5,"Chernikov"
6,"Novgorod_Serverskiy"
7,"Kursk"
8,"Bryansk"
9,"Karachev"
10,"Kozelsk"
11,"Dorogobusch"
12,"Vyazma"
13,"A_region"
14,"Tver"
15,"Vishniy_Totochek"
16,"Ksyatyn"
17,"Uglich"
18,"Yaroslavl"
19,"Rostov"
20,"B_region"
21,"C_region"
22,"Suzdal"
23,"Vladimir"
24,"Nizhniy_Novgorod"
25,"Bolgar"
26,"Isad_Ryazan"
27,"Pronsk"
28,"Dubok"
29,"Elets"
30,"Mtsensk"
31,"Tula"
32,"Dedoslavl"
33,"Pereslavl"
34,"Kolomna"
35,"Moscow"
36,"Mozhaysk"
37,"Dmitrov"
38,"Volok_Lamskiy"
39,"Murom"
